
# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 04:10:49
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
4	2516.0633900000003	1.1926261118349344	1315434084435	1315434109715
5	2016.1184100000003	1.49458629718152	1315434109715	1315434129998
6	1682.02229	1.0419473659286338	1315434129999	1315434146932
7	1444.2029100000002	1.1832816244326514	1315434146932	1315434161495
8	1264.4404	1.3398276222414993	1315434161495	1315434174250
9	1126.15874	1.2879821213159484	1315434174250	1315434185634
10	1014.4441800000001	0.7576790462170251	1315434185634	1315434195901
11	923.6487199999999	0.5953286877200384	1315434195902	1315434205260
12	848.1971300000001	1.3435593225716156	1315434205260	1315434213856
13	783.73523	0.3378028026613813	1315434213856	1315434221819
14	729.47632	0.786825182782416	1315434221819	1315434229233
15	681.64095	1.3707809617504974	1315434229233	1315434236172
16	639.38273	0.7980334635057471	1315434236172	1315434242689
17	603.1063099999999	0.6637158069317591	1315434242689	1315434248841
18	570.8985700000001	1.540868116849759	1315434248841	1315434254672
19	541.14642	0.7676256260560036	1315434254672	1315434260209
20	514.38993	0.979666042946362	1315434260209	1315434265475
21	490.99524	0.7198963215253659	1315434265475	1315434270509
22	469.42367	0.6974284193201402	1315434270509	1315434275326
23	449.48551	0.7089547085619734	1315434275326	1315434279945
24	431.54655	1.1370092692117584	1315434279946	1315434284387


# ====== Port number : 3000 ======

########################################
# SR SequentialExecute for /192.168.0.2:3000
#  Repeat Count = 100
# Client Configuration @2011-09-08 06:25:14
#  Task time = 100
#  Max return count = 24
# Return number	Latency	STDEV	Begin time	End time
1	102.1928	1.2777925093565123	1315434315449	1315434325769
2	76.216	1.0396493192767	1315434325769	1315434335914
3	67.95440000000002	0.7554626918510735	1315434335914	1315434346081
4	63.829900000000016	1.0140921152340678	1315434346081	1315434356257
5	61.55429999999999	1.475082093247653	1315434356257	1315434366470
6	60.17950000000002	1.8213949449405924	1315434366470	1315434376721
7	58.92679999999998	1.5819058190052049	1315434376722	1315434386979
8	57.81750000000002	1.211785872171851	1315434386980	1315434397251
9	57.425700000000006	1.7565871726028282	1315434397251	1315434407541
10	56.986699999999985	1.6749455320568605	1315434407541	1315434417833
11	56.592900000000014	1.8729214984590734	1315434417833	1315434428150
12	56.01819999999996	1.3106443630786242	1315434428150	1315434438474
13	55.88020000000002	1.5681611054108433	1315434438474	1315434448804
14	55.652700000000024	1.6264250037820365	1315434448804	1315434459149
15	55.51729999999998	1.6121043747704367	1315434459149	1315434469503
16	55.39029999999999	1.9392774115094635	1315434469503	1315434479867
17	55.11359999999999	1.558190170056198	1315434479867	1315434490236
18	54.90089999999999	1.4564326800493888	1315434490236	1315434500622
19	54.9272	1.5155204326619287	1315434500622	1315434511026
20	54.75699999999997	1.2315921370007068	1315434511026	1315434521401
21	54.869400000000006	1.8261455903540704	1315434521401	1315434531824
22	54.572099999999985	1.3820627936743368	1315434531824	1315434542240
